"state","month","confirmed_cases","hospitalizations","deaths"
"MT","2021-02",4073,246,28
"MT","2021-03",3431,142,0
"MT","2021-04",2957,235,0
"MT","2021-05",2350,252,0
"MT","2021-06",1409,195,0
"MT","2021-07",2823,317,0
"MT","2021-08",10428,922,37
"MT","2021-09",18382,1385,126
"MT","2021-10",17852,1355,187
"MT","2021-11",9031,703,65
"MT","2021-12",5480,354,13
"MT","2022-01",27194,582,12
"MT","2022-02",4221,115,0
"MT","2022-03",472,27,0
"MT","2022-04",243,20,0
"MT","2022-05",819,51,0
"MT","2022-06",1354,74,0
"MT","2022-07",1752,120,0
"MT","2022-08",1218,48,0
"NA","2020-01",44,8,0
"NA","2020-02",48,7,0
"NA","2020-03",29,5,0
"NA","2020-04",16,5,0
"NA","2020-05",28,2,0
"NA","2020-06",20,1,0
"NA","2020-07",31,1,0
"NA","2020-08",45,1,0
"NA","2020-09",27,0,0
"NA","2020-10",39,1,0
"NA","2020-11",24,0,0
"NA","2020-12",60,1,0
"NA","2021-01",14,3,0
"NA","2021-02",44,0,0
"NA","2021-03",46,0,0
"NA","2021-04",30,5,0
"NA","2021-05",72,6,0
"NA","2021-06",33,0,0
"NA","2021-07",41,0,0
"NA","2021-08",81,4,0
"NA","2021-09",51,0,0
"NA","2021-10",16,0,0
"NA","2021-11",21,0,0
"NA","2022-01",20,0,0
"NA","2022-02",30,0,0
"NA","2022-03",12,0,0
"NA","2022-04",47,0,0
"NA","2022-05",22,0,0
"NA","2022-06",26,1,0
"NA","2022-07",11,1,0
"NA","2022-08",12,0,0
"NA","NA",3,0,0
"NC","2020-01",26,8,0
"NC","2020-02",45,2,0
"NC","2020-03",3421,672,19
"NC","2020-04",9961,1294,161
"NC","2020-05",21100,1691,89
"NC","2020-06",44935,2223,40
"NC","2020-07",61744,3407,185
"NC","2020-08",80012,4402,425
"NC","2020-09",72323,4237,231
"NC","2020-10",109038,5612,716
"NC","2020-11",171484,7343,1114
"NC","2020-12",314928,10985,3130
"NC","2021-01",163076,5041,860
"NC","2021-02",62308,2002,0
"NC","2021-03",38304,1487,0
"NC","2021-04",39872,1637,0
"NC","2021-05",20538,1069,12
"NC","2021-06",8831,598,0
"NC","2021-07",40760,1825,0
"NC","2021-08",152518,4721,269
"NC","2021-09",140486,3881,125
"NC","2021-10",56621,1830,0
"NC","2021-11",46945,1645,0
"NC","2021-12",180318,2924,160
"NC","2022-01",620477,4747,1116
"NC","2022-02",92232,1569,50
"NC","2022-03",12914,308,0
"NC","2022-04",29958,290,0
"NC","2022-05",87504,747,0
"NC","2022-06",84501,836,0
"NC","2022-07",103496,1173,0
"NC","2022-08",65101,806,0
"ND","2020-03",222,33,0
"ND","2020-04",995,69,23
"ND","2020-05",1527,89,36
"ND","2020-06",1070,63,0
"ND","2020-07",3243,162,0
"ND","2020-08",5913,217,0
"ND","2020-09",10941,437,152
"ND","2020-10",25628,1002,276
"ND","2020-11",32125,1067,405
"ND","2020-12",8046,436,27
"ND","2021-01",3394,164,0
"ND","2021-02",1630,88,0
"ND","2021-03",2277,106,0
"ND","2021-04",2620,197,0
"ND","2021-05",1423,135,0
"ND","2021-06",453,51,0
"ND","2021-07",810,62,0
"ND","2021-08",5685,400,0
"ND","2021-09",9978,630,0
"ND","2021-10",9819,610,38
"ND","2021-11",8502,562,31
"ND","2021-12",7664,399,0
"ND","2022-01",28586,607,46
"ND","2022-02",6445,212,0
"ND","2022-03",1030,64,0
"ND","2022-04",840,54,0
"ND","2022-05",2235,106,0
"ND","2022-06",3397,152,0
"ND","2022-07",4916,183,0
"ND","2022-08",3445,169,0
"NE","2020-01",36,0,0
"NE","2020-02",12,0,0
"NE","2020-03",450,0,0
"NE","2020-04",5413,0,0
"NE","2020-05",6685,0,0
"NE","2020-06",4026,0,0
"NE","2020-07",6263,0,0
"NE","2020-08",6780,0,0
"NE","2020-09",9911,1,0
"NE","2020-10",20547,0,0
"NE","2020-11",31408,3,0
"NE","2020-12",20268,0,0
"NE","2021-01",13640,0,0
"NE","2021-02",9638,0,0
"NE","2021-03",20067,0,0
"NE","2021-04",12858,0,0
"NE","2021-05",2402,0,0
"NE","2021-06",2413,1,0
"NE","2021-07",2713,0,0
"NE","2021-08",8207,2,0
"NE","2021-09",8175,1,0
"NE","2021-10",7259,0,0
"NE","2021-11",10798,0,0
"NE","2021-12",8269,0,0
"NE","2022-01",15166,1,0
"NE","2022-02",7105,1,0
"NE","2022-03",11759,0,0
"NE","2022-04",4592,0,0
"NE","2022-05",3315,0,0
"NE","2022-06",4125,0,0
"NE","2022-07",4025,0,0
"NE","2022-08",998,0,0
"NH","2020-01",3,0,0
"NH","2020-03",547,66,0
"NH","2020-04",1795,167,108
"NH","2020-05",2478,197,169
"NH","2020-06",1133,90,53
"NH","2020-07",879,48,0
"NH","2020-08",643,17,0
"NH","2020-09",1125,36,0
"NH","2020-10",2249,68,0
"NH","2020-11",8283,204,96
"NH","2020-12",15925,509,292
"NH","2021-01",12291,338,117
"NH","2021-02",5979,125,0
"NH","2021-03",5880,171,0
"NH","2021-04",6281,177,0
"NH","2021-05",2325,70,0
"NH","2021-06",588,30,0
"NH","2021-07",970,39,0
"NH","2021-08",4396,145,0
"NH","2021-09",8019,139,0
"NH","2021-10",10267,142,23
"NH","2021-11",19554,256,63
"NH","2021-12",27866,324,93
"NH","2022-01",48026,254,92
"NH","2022-02",8286,75,12
"NH","2022-03",2693,21,0
"NH","2022-04",6384,45,0
"NH","2022-05",10680,60,0
"NH","2022-06",5216,19,0
"NH","2022-07",4584,12,0
"NH","2022-08",3154,5,0
"NJ","2020-01",345,363,43
"NJ","2020-02",84,51,0
"NJ","2020-03",37534,14829,3008
"NJ","2020-04",60262,24683,8490
"NJ","2020-05",29234,6153,980
"NJ","2020-06",44588,3094,99
"NJ","2020-07",10834,1589,0
"NJ","2020-08",10453,1288,0
"NJ","2020-09",15290,1529,0
"NJ","2020-10",36842,3939,23
"NJ","2020-11",110139,11150,900
"NJ","2020-12",134796,12875,1527
"NJ","2021-01",137132,10612,1348
"NJ","2021-02",73669,5798,324
"NJ","2021-03",102494,7586,381
"NJ","2021-04",70832,5632,156
"NJ","2021-05",16527,1806,0
"NJ","2021-06",6137,803,0
"NJ","2021-07",18835,1983,0
"NJ","2021-08",48306,5173,66
"NJ","2021-09",50348,4670,114
"NJ","2021-10",36484,3602,64
"NJ","2021-11",55119,4991,37
"NJ","2021-12",344126,21188,833
"NJ","2022-01",415471,16845,1387
"NJ","2022-02",32731,2571,40
"NJ","2022-03",22252,1401,0
"NJ","2022-04",52737,2458,29
"NJ","2022-05",106674,5114,76
"NJ","2022-06",68017,4247,36
"NJ","2022-07",77567,4939,13
"NJ","2022-08",44336,2930,0
"NM","2020-01",18,7,0
"NM","2020-02",14,4,0
"NM","2020-03",631,134,0
"NM","2020-04",3360,667,164
"NM","2020-05",4420,729,87
"NM","2020-06",5092,507,0
"NM","2020-07",8735,735,12
"NM","2020-08",4449,360,0
"NM","2020-09",4791,420,0
"NM","2020-10",21025,1559,112
"NM","2020-11",54714,3467,560
"NM","2020-12",42465,2892,402
"NM","2021-01",27758,1854,167
"NM","2021-02",9968,610,0
"NM","2021-03",6565,405,0
"NM","2021-04",6739,484,0
"NM","2021-05",4890,476,0
"NM","2021-06",2543,288,0
"NM","2021-07",6310,540,0
"NM","2021-08",22749,1375,34
"NM","2021-09",19770,1175,0
"NM","2021-10",23692,1519,57
"NM","2021-11",36785,2192,256
"NM","2021-12",37864,1974,229
"NM","2022-01",114178,2710,291
"NM","2022-02",26209,1114,0
"NM","2022-03",4941,350,0
"NM","2022-04",4483,202,0
"NM","2022-05",12384,506,0
"NM","2022-06",23437,824,11
"NM","2022-07",23137,813,0
"NM","2022-08",11390,443,0
"NV","2020-01",127,7,0
"NV","2020-02",56,13,0
"NV","2020-03",2478,842,112
"NV","2020-04",3922,904,263
"NV","2020-05",3783,538,110
"NV","2020-06",14102,1212,182
"NV","2020-07",30016,2419,623
"NV","2020-08",15494,1309,344
"NV","2020-09",10303,733,78
"NV","2020-10",19154,1064,149
"NV","2020-11",54812,2584,856
"NV","2020-12",68285,3338,1405
"NV","2021-01",47406,2550,1007
"NV","2021-02",12673,893,245
"NV","2021-03",8232,640,77
"NV","2021-04",9318,779,69
"NV","2021-05",5589,584,42
"NV","2021-06",8549,841,145
"NV","2021-07",26552,1960,563
"NV","2021-08",33199,1972,575
"NV","2021-09",27676,1632,384
"NV","2021-10",18988,1224,188
"NV","2021-11",18419,1204,250
"NV","2021-12",51102,1245,436
"NV","2022-01",150109,2464,1197
"NV","2022-02",14997,736,156
"NV","2022-03",4012,245,33
"NV","2022-04",6640,199,16
"NV","2022-05",22864,459,51
"NV","2022-06",30391,636,67
"NV","2022-07",22512,721,49
"NV","2022-08",7473,233,0
"NY","2020-01",508,56,0
"NY","2020-02",980,852,70
"NY","2020-03",128148,28304,9507
"NY","2020-04",203614,36060,16258
"NY","2020-05",82724,6392,1717
"NY","2020-06",41879,2485,167
"NY","2020-07",42986,2035,33
"NY","2020-08",37928,1590,36
"NY","2020-09",46522,1657,72
"NY","2020-10",70088,2688,89
"NY","2020-11",155978,4677,419
"NY","2020-12",277353,10521,1126
"NY","2021-01",304095,17428,2294
"NY","2021-02",174619,12926,1228
"NY","2021-03",192374,12648,1038
"NY","2021-04",127851,8154,334
"NY","2021-05",38255,3095,27
"NY","2021-06",11034,1333,0
"NY","2021-07",40241,2519,23
"NY","2021-08",119033,6047,147
"NY","2021-09",124680,3661,134
"NY","2021-10",111659,1898,105
"NY","2021-11",168487,2435,252
"NY","2021-12",925091,16334,1277
"NY","2022-01",1023787,19900,2560
"NY","2022-02",92146,2287,53
"NY","2022-03",64004,1060,0
"NY","2022-04",150699,1996,49
"NY","2022-05",252321,3668,79
"NY","2022-06",149660,3899,40
"NY","2022-07",189234,5545,127
"NY","2022-08",107916,2953,0
"OH","2020-01",91,6,0
"OH","2020-02",67,17,0
"OH","2020-03",4915,1756,101
"OH","2020-04",15202,2813,964
"OH","2020-05",12021,2335,576
"OH","2020-06",18530,1969,186
"OH","2020-07",34102,3254,350
"OH","2020-08",26042,2345,255
"OH","2020-09",27019,2093,121
"OH","2020-10",63260,4937,841
"OH","2020-11",208828,11442,3481
"OH","2020-12",209963,11066,4372
"OH","2021-01",166516,7027,1809
"OH","2021-02",46139,2833,254
"OH","2021-03",38222,2529,35
"OH","2021-04",38597,3111,50
"OH","2021-05",19120,1983,12
"OH","2021-06",5469,743,0
"OH","2021-07",14880,1455,0
"OH","2021-08",81536,5036,397
"OH","2021-09",143117,8046,1118
"OH","2021-10",88263,5999,742
"OH","2021-11",112517,7651,1457
"OH","2021-12",274736,10996,2611
"OH","2022-01",372198,10533,2323
"OH","2022-02",43867,2690,64
"OH","2022-03",10613,891,0
"OH","2022-04",18946,867,0
"OH","2022-05",52746,1969,0
"OH","2022-06",50059,2025,0
"OH","2022-07",77086,2777,15
"OH","2022-08",54715,1815,0
"OK","2020-03",305,126,14
"OK","2020-04",3541,698,95
"OK","2020-05",2766,236,11
"OK","2020-06",8774,687,0
"OK","2020-07",23145,1842,76
"OK","2020-08",21647,1666,95
"OK","2020-09",25712,1743,110
"OK","2020-10",30565,2571,240
"OK","2020-11",62228,4098,663
"OK","2020-12",74715,5102,958
"OK","2021-01",61430,4409,714
"OK","2021-02",18259,1713,127
"OK","2021-03",7040,893,0
"OK","2021-04",5426,705,0
"OK","2021-05",3746,503,0
"OK","2021-06",3857,539,0
"OK","2021-07",20559,1851,71
"OK","2021-08",51521,3824,406
"OK","2021-09",39621,2780,176
"OK","2021-10",17466,1423,73
"OK","2021-11",14043,685,11
"OK","2021-12",3252,202,0
"OK","2022-01",1159,142,0
"OK","2022-02",199,81,0
"OK","2022-03",38,9,0
"OK","2022-04",38,6,0
"OK","2022-05",79,6,0
"OK","2022-06",229,21,0
"OK","2022-07",380,60,0
"OK","2022-08",196,10,0
"OR","2020-02",35,16,0
"OR","2020-03",1396,356,0
"OR","2020-04",1586,300,29
"OR","2020-05",1579,163,0
"OR","2020-06",5795,394,11
"OR","2020-07",9340,582,22
"OR","2020-08",7184,476,0
"OR","2020-09",7175,494,22
"OR","2020-10",12567,716,22
"OR","2020-11",35326,1898,211
"OR","2020-12",34987,1836,233
"OR","2021-01",24285,1302,52
"OR","2021-02",10428,684,0
"OR","2021-03",9791,661,0
"OR","2021-04",20165,1091,0
"OR","2021-05",14104,852,0
"OR","2021-06",6147,533,0
"OR","2021-07",16038,977,0
"OR","2021-08",60140,2994,287
"OR","2021-09",48268,2320,159
"OR","2021-10",33709,1626,13
"OR","2021-11",23012,1240,0
"OR","2021-12",44876,1312,36
"OR","2022-01",209460,3569,313
"OR","2022-02",37361,1732,39
"OR","2022-03",7581,499,0
"OR","2022-04",19066,487,0
"OR","2022-05",40735,1120,0
"OR","2022-06",40762,1274,0
"OR","2022-07",35296,1383,0
"OR","2022-08",15743,671,0
"PA","2020-02",55,10,0
"PA","2020-03",13913,2323,223
"PA","2020-04",40144,7022,3715
"PA","2020-05",22845,3238,1110
"PA","2020-06",16473,1651,108
"PA","2020-07",25295,1997,112
"PA","2020-08",20624,1558,94
"PA","2020-09",25174,1325,94
"PA","2020-10",49908,2978,358
"PA","2020-11",168091,8111,3227
"PA","2020-12",235449,8907,4653
"PA","2021-01",143305,5538,1679
"PA","2021-02",63280,2946,210
"PA","2021-03",80469,3303,185
"PA","2021-04",94478,4101,271
"PA","2021-05",32672,1879,55
"PA","2021-06",6407,578,0
"PA","2021-07",13938,885,0
"PA","2021-08",62895,2542,107
"PA","2021-09",112731,3476,406
"PA","2021-10",105195,3964,583
"PA","2021-11",141217,4593,1044
"PA","2021-12",302100,6733,1899
"PA","2022-01",462276,8033,2139
"PA","2022-02",58699,2267,67
"PA","2022-03",16277,803,0
"PA","2022-04",33212,943,0
"PA","2022-05",88940,2317,43
"PA","2022-06",57253,1771,23
"PA","2022-07",70430,1900,0
"PA","2022-08",47807,903,0
"PR","2020-01",12,2,0
"PR","2020-03",451,139,26
"PR","2020-04",307,77,49
"PR","2020-05",98,32,22
"PR","2020-06",285,51,12
"PR","2020-07",1366,303,111
"PR","2020-08",2022,331,204
"PR","2020-09",2853,265,213
"PR","2020-10",3343,238,171
"PR","2020-11",5732,447,340
"PR","2020-12",5024,445,402
"PR","2021-01",2237,271,199
"PR","2021-02",1817,147,67
"PR","2021-03",987,191,64
"PR","2021-04",2058,442,235
"PR","2021-05",1759,132,61
"PR","2021-06",794,30,0
"PR","2021-07",1561,97,62
"PR","2021-08",3828,418,345
"PR","2021-09",1848,161,132
"PR","2021-10",841,32,12
"PR","2021-11",476,21,0
"PR","2021-12",8405,125,89
"PR","2022-01",11176,579,587
"PR","2022-02",820,68,58
"PR","2022-03",370,23,12
"PR","2022-04",2286,57,41
"PR","2022-05",4435,167,150
"PR","2022-06",3440,177,135
"PR","2022-07",2931,150,136
"PR","2022-08",2107,94,76
"RI","2020-10",2956,0,0
"RI","2020-11",13976,0,0
"RI","2020-12",19541,0,219
"RI","2021-01",12274,0,236
"RI","2021-02",3355,0,87
"RI","2021-03",10216,0,12
"RI","2021-04",24722,0,0
"RI","2021-05",12372,0,0
"RI","2021-06",20322,0,0
"RI","2021-07",2361,0,0
"RI","2021-08",85,0,16
"RI","2021-09",178,1,0
"RI","2021-10",735,0,0
"RI","2021-11",2331,0,13
"RI","2021-12",6223,0,11
"RI","2022-01",16489,0,0
"RI","2022-02",452,0,0
"RI","2022-03",552,0,0
"RI","2022-04",370,0,0
"RI","2022-05",800,0,0
"RI","2022-06",12962,0,0
"RI","2022-07",167,0,0
"RI","2022-08",5914,0,0
"SC","2020-01",88,8,0
"SC","2020-02",41,11,0
"SC","2020-03",2625,584,12
"SC","2020-04",3984,703,36
"SC","2020-05",6148,667,0
"SC","2020-06",28256,1709,77
"SC","2020-07",55447,3414,513
"SC","2020-08",28986,1771,190
"SC","2020-09",24474,1213,80
"SC","2020-10",27179,1477,143
"SC","2020-11",40633,1686,225
"SC","2020-12",86802,3314,732
"SC","2021-01",109041,3577,878
"SC","2021-02",42430,1548,106
"SC","2021-03",20216,1003,0
"SC","2021-04",15869,866,0
"SC","2021-05",7985,488,0
"SC","2021-06",3399,232,0
"SC","2021-07",19653,1011,24
"SC","2021-08",81302,3009,479
"SC","2021-09",103756,3037,586
"SC","2021-10",26808,1142,79
"SC","2021-11",17204,741,26
"SC","2021-12",51575,1259,108
"SC","2022-01",314174,2793,752
"SC","2022-02",50382,1089,80
"SC","2022-03",8060,186,0
"SC","2022-04",5534,48,0
"SC","2022-05",18899,93,0
"SC","2022-06",33676,127,0
"SC","2022-07",40933,174,0
"SC","2022-08",34018,170,0
"SD","2020-01",25,0,0
"SD","2020-03",336,0,0
"SD","2020-04",2238,0,0
"SD","2020-05",1698,0,0
"SD","2020-06",1390,0,0
"SD","2020-07",1644,0,0
"SD","2020-08",4294,0,0
"SD","2020-09",6037,0,0
"SD","2020-10",9069,0,0
"SD","2020-11",12080,0,0
"SD","2020-12",5284,0,0
"SD","2021-01",2694,0,0
"SD","2021-02",1880,0,0
"SD","2021-03",2448,0,0
"SD","2021-04",7899,0,0
"SD","2021-05",1875,0,0
"SD","2021-06",953,0,0
"SD","2021-07",753,0,0
"SD","2021-08",50894,0,0
"SD","2021-09",9006,0,0
"SD","2021-10",5636,0,0
"SD","2021-11",6519,1,0
"SD","2021-12",8845,0,0
"SD","2022-01",10853,0,0
"SD","2022-02",21429,0,0
"SD","2022-03",6475,0,0
"SD","2022-04",558,0,0
"SD","2022-05",1495,0,0
"SD","2022-06",1800,0,0
"SD","2022-07",4139,0,0
"SD","2022-08",3350,0,0
"TN","2020-01",121,13,0
"TN","2020-02",48,6,0
"TN","2020-03",4289,723,29
"TN","2020-04",9178,821,67
"TN","2020-05",12660,833,81
"TN","2020-06",27745,1679,96
"TN","2020-07",57771,3477,238
"TN","2020-08",43185,1966,160
"TN","2020-09",38064,2034,178
"TN","2020-10",62050,3100,492
"TN","2020-11",118417,3720,1108
"TN","2020-12",160344,3817,1789
"TN","2021-01",85550,2277,845
"TN","2021-02",28123,1224,80
"TN","2021-03",24564,1441,16
"TN","2021-04",22071,1624,39
"TN","2021-05",10462,922,11
"TN","2021-06",3916,369,0
"TN","2021-07",25614,1692,102
"TN","2021-08",134801,4041,946
"TN","2021-09",100269,3782,910
"TN","2021-10",30465,1389,52
"TN","2021-11",25312,1060,70
"TN","2021-12",105444,1970,326
"TN","2022-01",327341,2963,1259
"TN","2022-02",53773,1071,264
"TN","2022-03",5247,153,0
"TN","2022-04",6841,67,0
"TN","2022-05",24837,221,0
"TN","2022-06",39354,547,0
"TN","2022-07",49022,723,38
"TN","2022-08",37844,334,0
"TX","2020-01",1200,48,0
"TX","2020-02",152,47,0
"TX","2020-03",9262,2287,82
"TX","2020-04",15992,2942,166
"TX","2020-05",17353,2754,162
"TX","2020-06",69450,8619,793
"TX","2020-07",84801,11561,1543
"TX","2020-08",42460,4810,254
"TX","2020-09",28967,2545,78
"TX","2020-10",52634,4815,133
"TX","2020-11",95112,7293,351
"TX","2020-12",121190,9584,654
"TX","2021-01",112880,9560,648
"TX","2021-02",40397,3762,45
"TX","2021-03",23796,2210,0
"TX","2021-04",20636,2135,0
"TX","2021-05",10943,1420,12
"TX","2021-06",8568,1153,14
"TX","2021-07",31497,3507,148
"TX","2021-08",37119,4958,294
"TX","2021-09",20454,2351,118
"TX","2021-10",11956,981,47
"TX","2021-11",52618,1446,145
"TX","2021-12",1547992,21435,7591
"TX","2022-01",1475428,27092,6863
"TX","2022-02",12589,741,114
"TX","2022-03",45822,932,188
"TX","2022-04",36260,724,62
"TX","2022-05",68486,676,0
"TX","2022-06",801360,7090,1856
"TX","2022-07",473408,4106,719
"TX","2022-08",131176,1086,0
"UT","2020-01",37,2,0
"UT","2020-02",25,1,0
"UT","2020-03",1739,137,0
"UT","2020-04",3761,166,19
"UT","2020-05",5985,242,12
"UT","2020-06",14222,368,0
"UT","2020-07",16997,449,33
"UT","2020-08",11646,255,0
"UT","2020-09",24850,398,19
"UT","2020-10",45396,750,85
"UT","2020-11",87140,971,277
"UT","2020-12",80024,813,188
"UT","2021-01",60501,619,100
"UT","2021-02",22539,267,0
"UT","2021-03",14233,237,0
"UT","2021-04",11267,200,0
"UT","2021-05",8378,207,0
"UT","2021-06",9873,286,0
"UT","2021-07",19485,502,0
"UT","2021-08",34141,641,77
"UT","2021-09",43288,696,75
"UT","2021-10",43823,698,76
"UT","2021-11",45312,581,85
"UT","2021-12",52091,466,77
"UT","2022-01",241178,922,178
"UT","2022-02",29656,258,12
"UT","2022-03",4262,65,0
"UT","2022-04",5650,53,0
"UT","2022-05",20944,185,0
"UT","2022-06",30801,303,0
"UT","2022-07",28765,315,0
"UT","2022-08",11506,111,0
"VA","2020-02",46,8,0
"VA","2020-03",4199,1115,58
"VA","2020-04",16932,2687,597
"VA","2020-05",26012,2261,251
"VA","2020-06",16953,1138,28
"VA","2020-07",29057,2066,64
"VA","2020-08",28057,1761,72
"VA","2020-09",24488,1227,92
"VA","2020-10",28437,1671,122
"VA","2020-11",49911,2759,336
"VA","2020-12",89367,4111,893
"VA","2021-01",106142,4162,962
"VA","2021-02",45008,1982,79
"VA","2021-03",28892,1512,17
"VA","2021-04",23858,1524,26
"VA","2021-05",9254,722,0
"VA","2021-06",3903,338,0
"VA","2021-07",12909,854,11
"VA","2021-08",48991,2419,137
"VA","2021-09",59528,2584,284
"VA","2021-10",36628,1662,71
"VA","2021-11",29146,1382,89
"VA","2021-12",117700,4049,310
"VA","2022-01",286408,4821,983
"VA","2022-02",56431,1078,75
"VA","2022-03",19140,358,0
"VA","2022-04",24566,265,0
"VA","2022-05",25419,334,0
"VA","2022-06",9835,377,0
"VA","2022-07",46679,1017,22
"VA","2022-08",38170,710,0
"VI","2020-03",43,6,0
"VI","2020-04",16,6,0
"VI","2020-06",32,2,0
"VI","2020-07",291,21,0
"VI","2020-08",578,44,0
"VI","2020-09",149,7,0
"VI","2020-10",55,5,0
"VI","2020-11",173,2,0
"VI","2020-12",366,12,0
"VI","2021-01",297,8,0
"VI","2021-02",198,8,0
"VI","2021-03",185,12,0
"VI","2021-04",205,6,0
"VI","2021-05",401,14,0
"VI","2021-06",327,9,0
"VI","2021-07",863,54,0
"VI","2021-08",1251,51,0
"VI","2021-09",739,18,0
"VI","2021-10",390,16,0
"VI","2021-11",269,12,0
"VI","2021-12",2402,13,0
"VI","2022-01",4711,71,0
"VI","2022-02",530,6,0
"VI","2022-03",243,3,0
"VI","2022-04",713,10,0
"VI","2022-05",3462,30,0
"VI","2022-06",1017,17,0
"VI","2022-07",839,25,0
"VI","2022-08",592,15,0
"VT","2020-03",530,83,0
"VT","2020-04",311,27,13
"VT","2020-05",83,4,0
"VT","2020-06",220,9,0
"VT","2020-07",185,5,0
"VT","2020-08",189,4,0
"VT","2020-09",117,2,0
"VT","2020-10",535,15,0
"VT","2020-11",2328,90,0
"VT","2020-12",2905,111,19
"VT","2021-01",3877,160,0
"VT","2021-02",2787,88,0
"VT","2021-03",4279,110,0
"VT","2021-04",2885,82,0
"VT","2021-05",904,33,0
"VT","2021-06",143,9,0
"VT","2021-07",635,23,0
"VT","2021-08",3428,125,0
"VT","2021-09",4869,145,0
"VT","2021-10",6067,160,0
"VT","2021-11",9654,212,0
"VT","2021-12",8953,169,0
"VT","2022-01",29369,223,0
"VT","2022-02",6735,69,0
"VT","2022-03",3535,25,0
"VT","2022-04",12167,106,0
"VT","2022-05",7136,101,0
"VT","2022-06",2893,44,0
"VT","2022-07",1697,16,0
"VT","2022-08",1280,6,0
"WA","2020-01",22,4,0
"WA","2020-02",312,123,27
"WA","2020-03",8276,1702,363
"WA","2020-04",7976,1205,215
"WA","2020-05",7443,729,50
"WA","2020-06",14119,893,36
"WA","2020-07",23847,1353,100
"WA","2020-08",15833,1006,23
"WA","2020-09",13336,832,12
"WA","2020-10",23105,1282,63
"WA","2020-11",67118,3041,337
"WA","2020-12",72497,3628,591
"WA","2021-01",52675,2574,263
"WA","2021-02",20305,1252,60
"WA","2021-03",21974,1229,0
"WA","2021-04",34838,2110,11
"WA","2021-05",23285,1876,0
"WA","2021-06",10995,1054,0
"WA","2021-07",24481,1836,11
"WA","2021-08",78440,5357,442
"WA","2021-09",76639,4566,363
"WA","2021-10",53934,3484,200
"WA","2021-11",38840,2473,91
"WA","2021-12",103989,2946,207
"WA","2022-01",387116,8828,898
"WA","2022-02",58630,3181,134
"WA","2022-03",15280,964,11
"WA","2022-04",34803,1066,41
"WA","2022-05",71049,2287,90
"WA","2022-06",69190,2845,87
"WA","2022-07",63159,3272,89
"WA","2022-08",27747,1796,11
"WI","2020-01",19,4,0
"WI","2020-02",29,12,0
"WI","2020-03",2635,869,60
"WI","2020-04",6134,1089,141
"WI","2020-05",10483,1199,85
"WI","2020-06",9853,801,13
"WI","2020-07",22030,1504,45
"WI","2020-08",20851,1283,12
"WI","2020-09",43502,2142,33
"WI","2020-10",96055,5709,1039
"WI","2020-11",143639,7439,1500
"WI","2020-12",83713,4552,716
"WI","2021-01",53130,2791,197
"WI","2021-02",21677,1203,0
"WI","2021-03",17123,973,0
"WI","2021-04",20442,1092,0
"WI","2021-05",10893,830,0
"WI","2021-06",4175,330,0
"WI","2021-07",10638,671,0
"WI","2021-08",35488,2117,72
"WI","2021-09",57810,2564,100
"WI","2021-10",58652,2474,103
"WI","2021-11",70570,3019,238
"WI","2021-12",87544,3241,375
"WI","2022-01",170149,3607,514
"WI","2022-02",65559,1538,11
"WI","2022-03",24967,544,0
"WI","2022-04",35231,519,0
"WI","2022-05",55251,1049,0
"WI","2022-06",43439,912,0
"WI","2022-07",48319,1210,0
"WI","2022-08",33447,824,0
"WV","2020-03",449,0,0
"WV","2020-04",757,0,0
"WV","2020-05",795,0,0
"WV","2020-06",1159,0,0
"WV","2020-07",3694,1,0
"WV","2020-08",2236,1,0
"WV","2020-09",614,0,0
"WV","2020-11",12,0,0
"WV","2020-12",7,0,0
"WV","2021-01",24,0,0
"WV","2021-02",15,1,0
"WV","2021-07",10,0,0
"WV","2021-08",320,0,0
"WV","2021-09",65,0,0
"WV","2021-10",9,0,0
"WV","2021-12",21,2,0
"WV","2022-01",103,2,0
"WV","2022-02",12,0,0
"WV","2022-03",30,0,0
"WV","2022-05",37,0,0
"WV","2022-06",29,1,0
"WV","2022-07",14,0,0
"WV","2022-08",5,0,0
"WY","2020-03",213,38,0
"WY","2020-04",235,27,0
"WY","2020-05",256,27,0
"WY","2020-06",612,33,0
"WY","2020-07",1123,62,0
"WY","2020-08",946,49,0
"WY","2020-09",2231,83,0
"WY","2020-10",7523,252,66
"WY","2020-11",17889,454,107
"WY","2020-12",8078,313,57
"WY","2021-01",8687,168,0
"WY","2021-02",1875,61,0
"WY","2021-03",1618,41,0
"WY","2021-04",1484,58,0
"WY","2021-05",1664,120,0
"WY","2021-06",1488,89,0
"WY","2021-07",2470,156,0
"WY","2021-08",8898,248,25
"WY","2021-09",10916,298,34
"WY","2021-10",8987,333,57
"WY","2021-11",5186,257,0
"WY","2021-12",4128,139,0
"WY","2022-01",21555,139,0
"WY","2022-02",5335,86,0
"WY","2022-03",785,21,0
"WY","2022-04",536,12,0
"WY","2022-05",1652,31,0
"WY","2022-06",3772,36,0
"WY","2022-07",4334,37,0
"WY","2022-08",2203,15,0
