                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 46 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-3931.011
                ,+ 7 factors in 7 blocks,  AIC                ,8266.021
                ,+ AR(1) idiosyncratic  ,  BIC                ,8845.263
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,8501.387
Time:           ,22:36:36               ,  EM Iterations      ,225
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                            Observation equation:
Factor loadings:,Global,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
CARES           ,0.19  ,-0.26   ,.       ,.    ,.          ,.         ,.        ,0.18                   ,0.95
Cons1           ,0.09  ,.       ,.       ,.    ,0.00       ,.         ,.        ,-0.47                  ,0.77
Cons2           ,0.18  ,.       ,.       ,.    ,-0.46      ,.         ,.        ,0.35                   ,0.04
Cons3           ,0.17  ,.       ,.       ,.    ,-0.48      ,.         ,.        ,0.60                   ,0.01
Cons4           ,0.22  ,.       ,.       ,.    ,-0.33      ,.         ,.        ,0.04                   ,0.28
Cons5           ,0.21  ,.       ,.       ,.    ,-0.15      ,.         ,.        ,0.37                   ,0.46
Employment1     ,0.17  ,.       ,.       ,.    ,.          ,-0.57     ,.        ,-0.13                  ,0.14
Employment2     ,0.20  ,.       ,.       ,.    ,.          ,-0.52     ,.        ,-0.02                  ,0.11
UI              ,-0.00 ,.       ,.       ,.    ,.          ,0.17      ,.        ,0.57                   ,0.70
PartR           ,-0.12 ,.       ,.       ,.    ,.          ,-0.01     ,.        ,1.02                   ,0.03
CPI             ,0.12  ,.       ,.       ,.    ,.          ,.         ,0.10     ,-0.02                  ,0.90
CPIU            ,0.03  ,.       ,.       ,.    ,.          ,.         ,-0.70    ,-0.01                  ,0.50
PCEC            ,0.02  ,.       ,.       ,.    ,.          ,.         ,-0.70    ,0.00                   ,0.50
FixAss          ,0.12  ,.       ,.       ,-0.12,.          ,.         ,.        ,-0.06                  ,0.97
Prod            ,0.01  ,.       ,.       ,0.01 ,.          ,.         ,.        ,-0.00                  ,1.00
GDP             ,-0.12 ,.       ,.       ,0.13 ,.          ,.         ,.        ,0.51                   ,0.60
TBill1mo        ,-0.15 ,.       ,.       ,0.08 ,.          ,.         ,.        ,0.91                   ,0.17
TBill6mo        ,0.13  ,.       ,.       ,0.27 ,.          ,.         ,.        ,0.70                   ,0.36
TBill1yr        ,0.14  ,.       ,.       ,0.28 ,.          ,.         ,.        ,0.67                   ,0.37
TBill5yr        ,0.19  ,.       ,.       ,0.33 ,.          ,.         ,.        ,0.05                   ,0.09
TBill10yr       ,0.19  ,.       ,.       ,0.32 ,.          ,.         ,.        ,0.03                   ,0.08
TBill30yr       ,0.19  ,.       ,.       ,0.33 ,.          ,.         ,.        ,-0.15                  ,0.00
FFR             ,0.19  ,.       ,.       ,0.32 ,.          ,.         ,.        ,-0.05                  ,0.00
    Transition: Factor block 0
      ,L1.Global,   error variance
Global,0.83     ,1.70
      Transition: Factor block 1
        ,L1.Response,   error variance
Response,0.89       ,1.47
      Transition: Factor block 2
        ,L1.Pandemic,   error variance
Pandemic,0.44       ,4.15
   Transition: Factor block 3
     ,L1.Uncat,   error variance
Uncat,0.76    ,2.44
         Transition: Factor block 4
           ,L1.Consumption,   error variance
Consumption,0.11          ,3.13
        Transition: Factor block 5
          ,L1.Employment,   error variance
Employment,-0.00        ,1.92
       Transition: Factor block 6
         ,L1.Inflation,   error variance
Inflation,-0.01       ,1.01

Warnings:
[1] Covariance matrix not calculated.
