                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 44 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-3116.837
                ,+ 7 factors in 7 blocks,  AIC                ,6621.674
                ,+ AR(1) idiosyncratic  ,  BIC                ,7177.976
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,6847.718
Time:           ,22:47:11               ,  EM Iterations      ,2003
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                            Observation equation:
Factor loadings:,Global,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Gather2         ,-0.24 ,-0.24   ,.       ,.    ,.          ,.         ,.        ,0.93                   ,0.04
Gather3         ,-0.22 ,-0.14   ,.       ,.    ,.          ,.         ,.        ,0.92                   ,0.13
Gather4         ,-0.16 ,-0.02   ,.       ,.    ,.          ,.         ,.        ,0.90                   ,0.25
Curfew          ,0.17  ,-0.14   ,.       ,.    ,.          ,.         ,.        ,1.09                   ,0.00
Mask1           ,0.16  ,-0.17   ,.       ,.    ,.          ,.         ,.        ,1.07                   ,0.00
Mask2           ,0.18  ,-0.09   ,.       ,.    ,.          ,.         ,.        ,1.08                   ,0.00
School          ,0.15  ,-0.03   ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.38
ARP             ,0.17  ,0.22    ,.       ,.    ,.          ,.         ,.        ,0.78                   ,0.23
PPP             ,0.00  ,0.04    ,.       ,.    ,.          ,.         ,.        ,0.01                   ,1.01
CARES           ,0.13  ,-0.15   ,.       ,.    ,.          ,.         ,.        ,0.21                   ,1.27
Cons1           ,0.08  ,.       ,.       ,.    ,-0.01      ,.         ,.        ,-0.42                  ,0.88
Cons2           ,0.22  ,.       ,.       ,.    ,-0.36      ,.         ,.        ,0.19                   ,0.00
Cons3           ,0.21  ,.       ,.       ,.    ,-0.36      ,.         ,.        ,0.20                   ,0.00
Cons4           ,0.25  ,.       ,.       ,.    ,-0.30      ,.         ,.        ,0.06                   ,0.46
Cons5           ,0.25  ,.       ,.       ,.    ,-0.30      ,.         ,.        ,0.06                   ,0.46
Employment1     ,0.19  ,.       ,.       ,.    ,.          ,-0.53     ,.        ,0.02                   ,0.17
Employment2     ,0.22  ,.       ,.       ,.    ,.          ,-0.49     ,.        ,0.10                   ,0.21
UI              ,0.01  ,.       ,.       ,.    ,.          ,0.30      ,.        ,0.44                   ,0.76
PartR           ,-0.13 ,.       ,.       ,.    ,.          ,0.02      ,.        ,1.02                   ,0.04
PCE             ,0.06  ,.       ,.       ,.    ,.          ,.         ,-0.69    ,0.04                   ,1.04
PCEC            ,0.01  ,.       ,.       ,.    ,.          ,.         ,0.70     ,0.01                   ,1.00
FixAss          ,0.05  ,.       ,.       ,-0.09,.          ,.         ,.        ,0.02                   ,1.08
GDP             ,-0.10 ,.       ,.       ,0.20 ,.          ,.         ,.        ,0.42                   ,1.01
TBill1mo        ,-0.19 ,.       ,.       ,0.00 ,.          ,.         ,.        ,0.90                   ,0.15
TBill6mo        ,0.07  ,.       ,.       ,0.37 ,.          ,.         ,.        ,0.42                   ,0.29
TBill1yr        ,0.07  ,.       ,.       ,0.37 ,.          ,.         ,.        ,0.37                   ,0.27
TBill5yr        ,0.15  ,.       ,.       ,0.36 ,.          ,.         ,.        ,0.42                   ,0.11
TBill10yr       ,0.15  ,.       ,.       ,0.35 ,.          ,.         ,.        ,0.46                   ,0.12
TBill30yr       ,0.13  ,.       ,.       ,0.37 ,.          ,.         ,.        ,0.32                   ,0.00
FFR             ,0.13  ,.       ,.       ,0.37 ,.          ,.         ,.        ,0.13                   ,0.00
    Transition: Factor block 0
      ,L1.Global,   error variance
Global,0.90     ,2.17
      Transition: Factor block 1
        ,L1.Response,   error variance
Response,0.89       ,1.36
      Transition: Factor block 2
        ,L1.Pandemic,   error variance
Pandemic,0.40       ,3.35
   Transition: Factor block 3
     ,L1.Uncat,   error variance
Uncat,0.44    ,5.93
         Transition: Factor block 4
           ,L1.Consumption,   error variance
Consumption,0.41          ,7.09
        Transition: Factor block 5
          ,L1.Employment,   error variance
Employment,0.29         ,3.17
       Transition: Factor block 6
         ,L1.Inflation,   error variance
Inflation,-0.20       ,0.02

Warnings:
[1] Covariance matrix not calculated.
