                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 47 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-3235.279
                ,+ 7 factors in 7 blocks,  AIC                ,6882.559
                ,+ AR(1) idiosyncratic  ,  BIC                ,7473.271
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,7122.585
Time:           ,22:53:12               ,  EM Iterations      ,170
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                            Observation equation:
Factor loadings:,Global,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cons3           ,0.19  ,.       ,.       ,.    ,0.40       ,.         ,.        ,-0.46                  ,0.00
Cons4           ,0.24  ,.       ,.       ,.    ,0.32       ,.         ,.        ,-0.12                  ,0.44
Cons5           ,0.23  ,.       ,.       ,.    ,0.32       ,.         ,.        ,-0.09                  ,0.45
Employment1     ,0.17  ,.       ,.       ,.    ,.          ,0.56      ,.        ,-0.48                  ,0.34
Employment2     ,0.19  ,.       ,.       ,.    ,.          ,0.54      ,.        ,-0.37                  ,0.38
UI              ,-0.02 ,.       ,.       ,.    ,.          ,0.02      ,.        ,0.66                   ,0.59
PartR           ,-0.18 ,.       ,.       ,.    ,.          ,0.17      ,.        ,0.98                   ,0.08
UR              ,0.13  ,.       ,.       ,.    ,.          ,-0.16     ,.        ,0.87                   ,0.26
CPI             ,0.13  ,.       ,.       ,.    ,.          ,.         ,-0.64    ,0.10                   ,0.59
PCE             ,0.08  ,.       ,.       ,.    ,.          ,.         ,-0.68    ,-0.10                  ,0.42
PCEC            ,0.01  ,.       ,.       ,.    ,.          ,.         ,0.04     ,0.01                   ,1.01
FixAss          ,0.10  ,.       ,.       ,-0.03,.          ,.         ,.        ,0.09                   ,1.10
Prod            ,0.01  ,.       ,.       ,0.00 ,.          ,.         ,.        ,0.00                   ,1.00
GDP             ,-0.13 ,.       ,.       ,0.15 ,.          ,.         ,.        ,0.48                   ,0.76
TBill1mo        ,-0.17 ,.       ,.       ,-0.07,.          ,.         ,.        ,0.90                   ,0.15
TBill6mo        ,-0.01 ,.       ,.       ,0.40 ,.          ,.         ,.        ,0.59                   ,0.10
TBill1yr        ,-0.01 ,.       ,.       ,0.40 ,.          ,.         ,.        ,0.56                   ,0.08
TBill5yr        ,0.05  ,.       ,.       ,0.41 ,.          ,.         ,.        ,0.74                   ,0.00
TBill10yr       ,0.05  ,.       ,.       ,0.41 ,.          ,.         ,.        ,0.74                   ,0.00
TBill30yr       ,0.08  ,.       ,.       ,0.37 ,.          ,.         ,.        ,0.63                   ,0.13
FFR             ,0.08  ,.       ,.       ,0.37 ,.          ,.         ,.        ,0.62                   ,0.14
    Transition: Factor block 0
      ,L1.Global,   error variance
Global,0.90     ,1.77
      Transition: Factor block 1
        ,L1.Response,   error variance
Response,0.87       ,1.42
      Transition: Factor block 2
        ,L1.Pandemic,   error variance
Pandemic,0.41       ,3.97
   Transition: Factor block 3
     ,L1.Uncat,   error variance
Uncat,0.86    ,1.48
         Transition: Factor block 4
           ,L1.Consumption,   error variance
Consumption,0.23          ,6.01
        Transition: Factor block 5
          ,L1.Employment,   error variance
Employment,0.54         ,1.05
       Transition: Factor block 6
         ,L1.Inflation,   error variance
Inflation,0.18        ,1.36

Warnings:
[1] Covariance matrix not calculated.
